america,America
american,American
donald,Donald
donald trump,Donald Trump
donald j trump,Donald J. Trump
donald j. trump,Donald J. Trump
donald john trump,Donald John Trump
trump,Trump
ivanka,Ivanka
eric,Eric
melania,Melania
tiffany,Tiffany
barron,Barron
medicare,Medicare
medicaid,Medicaid
social security,Social Security
barack obama,Barack Obama
obama,Obama
obamacare,Obamacare
i,I
i'll,I'll
i'm,I'm
i'd,I'd
--,—
pence,Pence
mike pence,Mike Pence
michael pence,Michael Pence
michael richard pence,Michael Richard Pence
washington,Washington
d.c.,D.C.
district of columbia,District of Columbia
god,God
scripture,Scripture
bible,Bible
lincoln,Lincoln
mexico,Mexico
china,China
earth,Earth
new york,New York
united states of america,United States of America
founding fathers,Founding Fathers
affordable care act,Affordable Care Act
president trump,President Trump
michelle obama,Michelle Obama
president obama,President Obama
george bush,George Bush
bill clinton,Bill Clinton
hillary clinton,Hillary Clinton
clinton,Clinton
white house,White House
united states,United States
americans,Americans
america's,America's
constitution,Constitution
china,China
russia,Russia
u.s.,U.S.
u.s.a.,U.S.A.
usa,U.S.A.
israel,Israel
israeli,Israeli
israelis,Israelis
lgbt,LGBT
palestine,Palestine
palestinian,Palestinian
palestinians,Palestinians
president-elect,President-elect
republican,Republican
democrat,Democrat
republicans,Republicans
democrats,Democrats
twitter,Twitter
facebook,Facebook
cnn,CNN
buzzfeed,Buzzfeed
putin,Putin
isis,ISIS
i.s.i.s.,ISIS
monday,Monday
tuesday,Tuesday
wednesday,Wednesday
thursday,Thursday
friday,Friday
saturday,Saturday
sunday,Sunday
january,January
february,February
march,March
april,April
may,May
june,June
july,July
august,August
september,September
october,October
november,November
december,December
europe,Europe
mexico,Mexico
mexican,Mexican
mexicans,Mexicans
muslim,Muslim
moslem,Moslem
muslims,Muslims
moslems,Moslems
islam,Islam
islamic,Islamic
christian,Christian
christians,Christians
c-span,C-SPAN
cuba,Cuba
cuban,Cuban
cuban,Cubans
congress,Congress
senator,Senator
senate,Senate
house of representatives,House of Representatives
supreme court,Supreme Court
chief justice,Chief Justice
